number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,house_age,years_since_renovation
3,2.1,2424,28146,1.54,1,1,3,7,1887,273,122037,52.81,-114.41,1929,21440,1,63,1074955,51,50
3,2.1,2024,7735,1.55,1,1,3,7,1644,245,122033,52.8,-114.41,1845,4460,2,65,630249,59,47
3,2.26,2265,9265,1.57,1,1,3,7,1963,250,122032,52.8,-114.43,1868,9039,1,63,968398,53,51
4,2.0,2600,4800,1.0,0,2,3,8,1400,1200,122003,52.867,-114.561,2050,3505,1,50,780000,71,71
4,2.5,2260,5824,2.0,0,0,3,8,2260,0,122024,52.5796,-114.232,2240,5561,3,57,379000,13,13
3,1.75,1800,9000,1.0,0,0,3,7,1200,600,122063,52.7232,-114.468,980,6000,2,76,257000,63,63
2,1.0,1210,17389,1.0,0,0,4,5,1210,0,122015,52.7344,-114.338,2140,14419,3,54,259000,76,76
3,2.24,2220,14954,1.34,1,1,3,7,1785,255,122037,52.8,-114.42,1942,17623,2,67,981069,56,49
5,2.25,2300,11505,1.0,0,0,3,8,1300,1000,122065,52.6112,-114.413,2350,11505,1,50,298950,61,61
5,1.5,3360,5225,2.0,0,0,3,9,3360,0,122019,52.8372,-114.243,3230,5368,2,56,834995,10,10
3,2.03,2117,15523,1.59,1,1,3,8,1697,267,122030,52.82,-114.37,1971,17903,2,65,1030391,48,51
2,1.0,1040,20524,1.0,0,3,3,6,1040,0,122041,52.9281,-114.065,1880,38996,3,75,154000,75,35
3,2.5,1300,812,2.0,0,0,3,8,880,420,122054,52.8193,-114.507,1300,824,2,75,329950,16,16
3,1.0,1220,8573,1.0,0,0,4,7,1220,0,122048,52.8388,-114.383,1390,8573,2,65,672000,70,70
3,2.28,2114,8364,1.51,1,1,3,7,1763,290,122031,52.76,-114.41,1824,16406,1,63,553983,46,52
3,2.54,2082,12438,1.52,1,1,3,7,1848,284,122035,52.83,-114.39,1879,4574,1,66,904524,49,54
3,2.1,1777,20063,1.53,1,1,3,7,1769,291,122038,52.79,-114.39,2220,8530,1,65,569607,56,46
3,1.0,1150,7314,1.0,0,0,3,7,1150,0,122029,52.8546,-114.303,1350,7350,3,77,300000,64,64
3,1.98,2393,12646,1.46,1,1,3,7,1814,334,122024,52.78,-114.42,2003,11407,2,64,998443,58,60
3,1.96,2229,1,1.52,1,1,3,7,1577,271,122036,52.79,-114.4,2138,6155,2,64,914020,49,47
3,1.0,1090,8280,1.0,0,0,3,6,1090,0,122014,52.9862,-114.508,1060,7609,1,57,289950,77,18
4,2.5,2280,3800,2.0,0,0,3,7,2280,0,122024,52.5886,-114.226,2630,4045,2,67,305000,18,18
4,4.0,4920,50621,2.0,0,0,3,10,4280,640,122045,52.8875,-114.196,4920,74052,3,63,1410000,12,12
3,1.0,1790,3876,1.5,0,0,5,7,1090,700,122054,52.805,-114.478,1360,4080,2,53,350000,120,120
3,2.5,3400,38400,1.0,0,4,3,8,1870,1530,122050,52.9911,-114.562,3400,24338,3,70,825000,69,9
3,2.1,2525,27090,1.47,1,1,3,7,1804,296,122027,52.8,-114.43,2162,6430,2,61,1048798,42,46
3,3.25,3080,12100,2.0,0,0,3,8,2080,1000,122007,52.925,-114.589,2100,6581,1,59,695000,40,40
2,1.0,1290,6272,1.0,0,0,4,6,890,400,122006,52.9077,-114.495,1260,5376,2,74,492000,102,102
3,2.0,2690,435600,2.0,0,0,3,8,2690,0,122069,52.5777,-114.709,1700,163350,2,73,575000,32,32
3,2.1,2298,18093,1.6,1,1,3,7,1691,214,122029,52.78,-114.39,2156,4469,2,63,961668,46,47
2,1.0,850,6174,1.0,0,0,4,7,850,0,122014,52.9652,-114.518,1100,6174,1,60,308500,74,74
1,1.0,790,4590,1.0,0,0,3,6,790,0,122051,52.7977,-114.475,1070,4590,1,78,350000,113,113
4,2.5,3550,35689,2.0,0,0,4,9,3550,0,122037,52.9803,-114.264,3350,35711,2,71,730000,33,33
4,2.25,1930,7452,1.0,0,0,3,7,1430,500,122067,52.6398,-114.379,1714,7200,3,75,312000,40,40
3,1.9,1996,11320,1.34,1,1,3,7,1729,202,122034,52.81,-114.38,1995,8565,1,66,692667,54,44
3,1.0,1830,3000,1.5,0,0,3,7,1430,400,122028,52.8919,-114.541,1510,2500,1,66,499950,98,98
3,2.28,1970,18176,1.45,1,1,3,7,2017,288,122033,52.76,-114.41,2085,11264,2,65,550995,59,43
4,2.75,2140,10316,2.0,0,0,3,8,2140,0,122039,52.5837,-114.464,1920,11337,3,68,359500,31,31
4,3.5,3080,5250,2.0,0,0,3,9,3080,0,122020,52.8292,-114.162,2980,5509,2,55,775000,21,21
4,3.25,3740,11467,2.0,0,0,3,10,3740,0,122011,52.811,-114.212,2510,27520,1,53,1140000,10,10
3,2.29,1824,14029,1.3,1,1,3,7,1810,223,122032,52.79,-114.41,2039,13329,1,63,572884,55,52
3,1.5,1250,8710,1.0,0,0,4,7,1250,0,122048,52.8545,-114.388,1750,9185,2,78,888000,71,71
3,2.04,2184,15187,1.54,1,1,3,7,1932,429,122038,52.81,-114.42,1948,15887,1,64,999560,49,44
4,3.5,3320,19850,1.0,0,2,4,10,2040,1280,122057,52.757,-114.418,3240,15470,3,58,1030000,47,47
2,1.0,870,6150,1.0,0,0,3,6,870,0,122034,52.7556,-114.537,1120,6150,1,65,245000,83,83
3,2.5,1950,7481,2.0,0,0,3,8,1950,0,122012,52.794,-114.281,1980,8479,3,69,622000,37,37
3,2.25,1310,12825,1.0,0,0,3,7,1310,0,122031,52.6815,-114.558,1600,11250,1,75,291750,74,11
3,2.19,1923,17940,1.52,1,1,3,7,1936,219,122034,52.81,-114.4,1939,13366,2,67,700260,48,47
2,1.0,980,3350,1.0,0,0,4,7,980,0,122028,52.9158,-114.542,1260,4000,3,51,393000,99,99
3,1.77,1978,16593,1.39,1,1,3,7,1793,206,122026,52.79,-114.43,1989,14579,1,66,582781,47,47
3,1.99,2076,12891,1.6,1,1,3,7,1879,284,122038,52.79,-114.4,1980,13607,2,66,846217,53,58
4,2.25,2720,8712,2.0,0,0,4,9,2720,0,122027,52.7916,-114.343,2470,8714,2,74,840000,48,48
3,2.12,2050,13046,1.34,1,1,3,7,1448,331,122032,52.83,-114.43,1979,15198,2,62,930460,61,40
3,1.98,1950,17845,1.58,1,1,3,7,1813,290,122037,52.76,-114.44,1900,11030,2,65,515197,52,55
4,3.5,3200,3250,2.0,0,0,3,9,2670,530,122011,52.7815,-114.19,3400,3663,1,57,795000,17,17
3,2.5,2040,10086,2.0,0,0,3,8,2040,0,122005,52.909,-114.303,1940,10272,1,63,542500,37,37
4,3.25,3250,5478,2.0,0,0,3,9,3250,0,122008,52.7478,-114.077,3250,5482,2,53,699188,10,10
3,2.13,2130,13953,1.54,1,1,3,7,1964,294,122030,52.8,-114.38,1964,11462,2,62,927292,47,47
4,2.5,1970,6600,2.0,0,0,3,7,1970,0,122065,52.5791,-114.358,1970,7682,1,63,274900,37,37
3,2.5,3210,5414,2.0,0,0,4,10,2530,680,122010,52.9239,-114.379,2630,8630,3,61,870000,34,34
3,2.0,1680,7000,1.5,0,0,4,7,1680,0,122072,52.5075,-114.393,1540,7480,3,59,219200,56,56
1,1.0,710,4725,1.0,0,0,3,6,710,0,122038,52.9628,-114.53,900,5250,1,56,264000,85,85
3,2.32,2176,12422,1.6,1,1,3,7,1686,233,122037,52.79,-114.4,1912,8770,1,66,915955,50,49
4,1.5,1360,6110,1.0,0,0,3,7,1010,350,122009,52.8055,-114.586,1520,6110,1,76,442000,69,69
3,2.01,2051,16479,1.44,1,1,3,7,1868,210,122029,52.78,-114.42,2025,9970,2,63,838875,58,49
4,2.5,3140,14421,2.0,0,0,3,10,3140,0,122020,52.8243,-114.208,3140,17417,1,69,780000,30,30
3,2.39,2076,20331,1.62,1,1,3,7,1618,201,122039,52.8,-114.43,1831,6344,2,64,833253,50,58
3,2.24,1904,5407,1.64,1,1,3,7,1862,230,122033,52.78,-114.44,2035,11610,1,63,551613,60,54
4,2.0,1880,5100,1.0,0,0,3,8,1880,0,122028,52.9172,-114.539,1610,4590,3,56,453000,72,72
3,2.27,1830,3793,1.42,1,1,3,7,1710,319,122030,52.78,-114.41,2041,5515,1,63,542037,55,44
4,1.75,2800,90169,2.0,0,0,3,7,2800,0,122008,52.7504,-114.019,1600,27194,2,59,529000,90,39
3,1.95,1881,6462,1.38,1,1,3,7,1993,348,122029,52.8,-114.4,2079,24693,1,65,663069,60,58
3,2.09,2051,6949,1.43,1,1,3,7,1753,303,122036,52.81,-114.44,2060,13977,2,66,921753,58,54
3,1.5,1190,10116,1.0,0,0,3,7,1190,0,122035,52.615,-114.275,1190,9905,3,56,160134,56,56
3,2.16,2070,11583,1.65,1,1,3,7,1820,227,122028,52.75,-114.42,1954,15758,1,66,548730,56,52
4,1.5,2070,7245,1.0,0,0,4,7,1060,1010,122039,52.5717,-114.471,1450,7350,1,78,235000,60,60
3,2.75,2610,11290,1.0,0,0,3,7,1630,980,122010,52.8932,-114.391,2570,9125,1,61,757000,39,39
3,1.5,1660,7221,1.0,0,0,3,7,980,680,122056,52.7262,-114.51,1770,8083,1,72,225000,62,62
3,2.5,2370,12753,2.0,0,0,3,7,2370,0,122055,52.9659,-114.174,2280,16808,1,51,499950,23,23
3,2.12,2117,17724,1.51,1,1,3,7,1663,317,122036,52.76,-114.38,2006,10775,2,64,549438,51,43
3,2.19,2185,23555,1.56,1,1,3,7,1707,359,122032,52.85,-114.4,2023,15087,2,65,1045089,46,58
6,3.0,2600,9350,1.0,0,0,4,8,1340,1260,122029,52.8498,-114.295,2090,9102,3,79,600000,61,61
3,2.22,1976,13508,1.32,1,1,3,7,1801,208,122028,52.79,-114.44,2139,13976,2,66,596252,54,50
2,1.0,870,7020,1.0,0,0,4,6,570,300,122034,52.7704,-114.542,1730,7020,3,69,230000,82,82
4,2.5,2430,6325,2.0,0,0,4,8,2020,410,122061,52.8713,-114.544,2340,4375,3,62,990000,105,105
2,1.0,750,6350,1.0,0,0,3,5,750,0,122028,52.9238,-114.546,920,6350,2,70,250000,104,104
5,3.25,2740,9629,1.0,0,0,5,7,1390,1350,122017,52.9945,-114.387,2150,10500,1,51,515000,47,47
4,3.25,3160,5000,2.0,0,0,5,9,2360,800,122004,52.8897,-114.464,2220,4000,3,70,1250000,59,59
4,2.5,2990,5280,2.0,0,0,3,9,2210,780,122012,52.7653,-114.256,2990,6299,2,72,760000,21,21
3,2.1,1759,13696,1.26,1,1,3,7,1564,249,122032,52.82,-114.39,2143,15379,1,64,727471,50,50
3,2.5,2410,46609,2.0,0,0,3,9,2410,0,122045,52.9089,-114.238,3370,40072,1,50,715000,35,35
3,2.06,2318,12873,1.47,1,1,3,7,1880,337,122029,52.75,-114.4,1917,9259,1,65,553376,52,53
3,2.21,2239,15763,1.43,1,1,3,7,1941,335,122032,52.8,-114.4,2043,15445,1,65,984175,53,57
3,1.0,1290,47044,1.0,0,0,3,7,1150,140,122011,52.7955,-114.188,1960,49658,2,62,450000,56,56
3,2.07,2122,13518,1.42,1,1,3,7,1693,357,122034,52.81,-114.4,1905,9636,2,63,944931,50,51
4,2.5,2440,28405,2.0,0,0,3,8,2440,0,122058,52.9686,-114.428,2480,11429,3,66,576000,22,22
3,2.13,2326,6732,1.41,1,1,3,7,1699,179,122030,52.78,-114.4,1819,14217,2,64,977593,64,56
4,2.25,2270,8480,1.0,0,0,5,8,1310,960,122027,52.7748,-114.364,1910,9050,2,69,527500,51,51
3,1.75,1460,7700,1.0,0,0,3,7,1460,0,122005,52.9281,-114.317,1720,7280,1,63,424500,45,45
4,2.5,1700,7280,2.0,0,0,4,7,1700,0,122067,52.6345,-114.361,1950,7475,3,74,290000,36,36
3,2.23,2189,17537,1.37,1,1,3,7,1666,383,122034,52.83,-114.45,2105,4695,2,64,1000520,58,49
3,2.13,1935,20495,1.57,1,1,3,7,1860,298,122034,52.8,-114.4,2005,5688,2,64,624453,49,53
3,2.5,1350,3068,2.0,0,0,3,7,1350,0,122044,52.8399,-114.483,1900,4000,2,63,613000,33,33
3,2.24,2090,6661,1.49,1,1,3,7,1594,237,122031,52.8,-114.4,1973,12333,1,64,883101,59,53
5,3.0,2680,8410,2.0,0,0,3,8,1810,870,122046,52.6701,-114.316,1860,8410,3,79,375000,34,34
3,2.25,1790,10209,1.0,0,0,3,7,1290,500,122021,52.9792,-114.276,1840,9900,2,55,425000,57,57
3,2.07,2163,16533,1.39,1,1,3,7,1822,259,122034,52.8,-114.42,2304,15918,1,65,987449,48,48
3,2.21,2045,26665,1.49,1,1,3,7,1834,300,122038,52.78,-114.39,2129,8006,2,62,795746,56,49
3,2.5,1670,7740,1.0,0,0,3,7,1130,540,122064,52.7522,-114.56,1220,7740,3,69,375000,50,50
3,2.21,2262,11584,1.6,1,1,3,7,1731,312,122033,52.78,-114.45,2050,21320,2,65,958440,55,52
4,1.5,1360,8100,1.5,0,0,3,7,1360,0,122056,52.7231,-114.495,1300,8100,1,50,201000,62,62
4,2.5,2180,3893,2.0,0,0,3,8,2180,0,122007,52.9186,-114.578,1710,4550,3,63,726500,25,25
3,2.0,1360,3120,2.0,0,0,3,7,1360,0,122006,52.9243,-114.497,1360,3120,3,52,396900,35,35
3,2.0,1410,4800,1.0,0,0,3,7,1410,0,122007,52.9152,-114.568,1190,3840,2,51,481450,84,84
3,2.16,2238,4611,1.63,1,1,3,7,1812,315,122031,52.8,-114.38,2064,11391,2,64,970746,59,49
3,3.5,2300,5611,1.0,0,0,3,8,2300,0,122045,52.9422,-114.216,2170,5926,3,60,675000,20,20
3,2.2,2043,28364,1.45,1,1,3,7,1781,311,122029,52.78,-114.37,1888,6483,2,65,789666,49,57
3,2.36,2066,18354,1.64,1,1,3,8,1920,336,122038,52.8,-114.4,2090,15401,1,64,1028822,48,49
4,2.75,2280,2850,1.5,0,0,4,7,1540,740,122006,52.9171,-114.497,1680,3800,2,50,530000,94,94
3,2.02,1995,13282,1.35,1,1,3,7,1907,329,122030,52.75,-114.36,2057,10890,1,64,528212,55,44
3,1.98,1947,18024,1.68,1,1,3,7,1833,358,122043,52.78,-114.42,1875,15167,2,64,550415,55,52
4,1.75,2010,6300,1.0,0,2,5,8,1610,400,122032,52.8757,-114.602,3290,6300,1,67,972000,87,87
3,2.5,1760,6477,2.0,0,0,4,8,1760,0,122065,52.6031,-114.362,1890,6800,2,55,267000,38,38
3,2.5,1500,5412,1.0,0,0,5,7,900,600,122016,52.7799,-114.584,1090,5412,2,58,485000,104,104
4,2.75,2220,8450,1.0,0,0,4,7,1260,960,122015,52.7104,-114.347,1580,8450,2,78,410000,41,41
3,2.28,2065,6207,1.48,1,1,3,7,1547,215,122036,52.79,-114.38,2130,9461,2,64,833402,57,55
4,3.5,4320,8490,2.0,0,0,3,10,3280,1040,122011,52.7868,-114.219,4030,11008,2,56,1040000,19,19
3,2.5,2600,10092,1.0,0,0,3,9,2600,0,122019,52.8523,-114.222,2440,9298,3,75,625000,40,40
3,2.1,1960,25438,1.47,1,1,3,7,1531,252,122036,52.8,-114.4,2116,20323,1,61,657491,50,60
3,2.25,3360,7108,2.0,0,0,3,10,2770,590,122047,52.8487,-114.474,3450,8558,1,76,2190000,119,20
3,2.11,2175,24531,1.46,1,1,3,7,1622,257,122036,52.81,-114.38,2094,11272,2,65,984323,38,49
4,2.5,2410,7069,2.0,0,0,3,9,2410,0,122033,52.9394,-114.424,2240,7184,3,68,635000,31,31
4,3.0,5940,11533,2.0,0,4,3,11,4950,990,122008,52.7743,-114.06,4240,12813,2,64,1150000,20,20
3,2.3,2240,24197,1.52,1,1,3,7,1789,406,122032,52.77,-114.39,2050,14129,2,62,947307,56,51
3,1.8,2042,14688,1.41,1,1,3,7,1579,272,122032,52.8,-114.42,2055,21158,2,64,870347,52,48
3,2.17,1935,15153,1.65,1,1,3,7,1721,327,122039,52.83,-114.43,2020,16599,2,64,732179,52,51
3,1.93,2310,9912,1.58,1,1,3,6,1625,347,122032,52.79,-114.39,2148,17553,2,63,999869,45,41
3,2.01,2064,10078,1.45,1,1,3,7,1610,274,122029,52.81,-114.39,1883,8376,2,64,894022,49,48
3,1.0,1040,16986,1.0,0,0,4,7,1040,0,122015,52.7112,-114.287,1660,16986,1,76,314950,56,56
3,1.0,1850,5000,1.5,0,0,3,7,1850,0,122028,52.9027,-114.541,1850,5000,3,80,611000,102,102
3,3.0,1850,19966,1.0,0,0,4,7,1090,760,122024,52.5793,-114.224,1410,6715,2,58,287200,32,32
3,2.01,1963,22206,1.4,1,1,3,7,1885,255,122032,52.79,-114.43,2081,10525,1,63,577754,40,49
3,2.0,3030,9374,1.0,0,1,4,7,2100,930,122016,52.7589,-114.581,1990,6012,1,61,590000,65,65
3,2.14,2309,2801,1.54,1,1,3,8,1893,274,122028,52.8,-114.41,1985,10595,1,64,1128425,47,55
3,1.87,2091,12344,1.43,1,1,3,7,2073,294,122040,52.76,-114.41,2131,15870,2,64,544960,49,51
2,1.75,2080,4800,1.0,0,0,5,7,1080,1000,122007,52.9196,-114.552,1310,4800,1,80,740000,101,101
3,2.5,3490,28213,1.5,0,2,3,9,2242,1248,122069,52.595,-114.646,2120,56628,3,79,692000,15,15
3,2.17,2058,9821,1.45,1,1,3,7,1686,212,122033,52.8,-114.42,2053,14544,1,65,901673,61,52
3,2.13,1906,16538,1.51,1,1,3,8,1799,299,122032,52.8,-114.41,1954,16020,2,66,707548,43,57
3,1.92,1916,11849,1.41,1,1,3,7,2021,290,122034,52.79,-114.4,2040,16887,1,64,588836,52,49
3,2.25,1460,941,3.0,0,0,3,8,1460,0,122038,52.9445,-114.546,1490,1399,1,61,337000,18,18
3,1.0,1590,5400,1.0,0,1,3,8,1280,310,122051,52.7809,-114.451,2140,7161,2,58,579000,76,76
5,2.5,2760,6000,2.0,0,0,3,8,2760,0,122059,52.7589,-114.511,1360,6000,1,66,300000,18,18
4,2.5,2560,4020,2.0,0,0,3,9,2560,0,122024,52.5833,-114.217,3010,4916,3,73,410000,18,18
3,1.0,1420,7420,1.5,0,0,3,6,1420,0,122063,52.7249,-114.429,1290,6600,2,63,264250,80,80
3,2.5,1520,3593,2.0,0,0,3,7,1520,0,122024,52.6142,-114.232,1610,3612,3,67,288000,20,20
3,2.15,2148,14032,1.5,1,1,3,7,1534,378,122037,52.75,-114.4,1866,10491,1,64,541908,57,63
3,2.5,1630,7700,1.0,0,0,3,7,1120,510,122067,52.6176,-114.401,1640,8160,1,70,249900,46,46
3,2.0,1710,5000,1.0,0,0,3,8,1260,450,122040,52.5773,-114.495,1760,8120,3,63,237000,56,56
3,1.91,1858,13096,1.45,1,1,3,7,1665,268,122030,52.8,-114.43,1858,12097,2,65,605411,50,53
3,2.24,2255,1534,1.33,1,1,3,7,1702,149,122031,52.76,-114.36,1908,13282,2,64,559931,52,47
4,2.25,2320,16800,2.0,0,0,4,9,2320,0,122023,52.5259,-114.356,2700,15680,2,67,260000,47,47
3,2.06,2179,16635,1.39,1,1,3,7,1694,403,122033,52.81,-114.44,2134,18404,1,63,1009706,55,53
3,2.12,1856,18208,1.51,1,1,3,7,1877,241,122032,52.83,-114.38,2023,12728,1,64,699634,50,44
3,2.09,2138,14239,1.49,1,1,3,7,1613,284,122033,52.8,-114.42,1955,15028,2,65,939198,56,53
3,2.12,2076,1,1.46,1,1,3,7,1947,297,122025,52.8,-114.39,1887,11650,1,61,865923,58,50
3,2.16,2331,19667,1.46,1,1,3,7,1984,361,122034,52.76,-114.36,2115,11434,1,65,575087,50,61
3,2.5,3090,13316,2.0,0,0,3,10,3090,0,122020,52.818,-114.269,2980,14437,2,50,751000,32,32
3,1.75,1250,10122,1.0,0,0,3,7,1250,0,122062,52.5577,-114.191,1980,10175,1,53,253000,30,30
6,2.5,3250,12000,1.0,0,1,3,8,1800,1450,122006,52.9235,-114.47,3490,10320,1,68,779000,58,58
4,2.5,2740,8400,1.5,0,2,3,8,2740,0,122068,52.4247,-114.198,2030,8638,2,64,315000,31,31
4,2.5,3410,179419,2.0,0,0,3,10,3410,0,122062,52.5902,-114.176,3350,175421,1,72,774950,20,20
4,2.25,3720,12384,1.0,0,2,5,8,1860,1860,122020,52.8136,-114.264,3180,15541,2,55,875000,54,54
3,2.24,2242,12045,1.55,1,1,3,7,1707,321,122031,52.85,-114.42,2174,13228,2,66,1042570,49,56
2,2.14,1960,12359,1.48,1,1,3,7,1737,183,122032,52.8,-114.38,1750,2124,1,63,597114,57,50
3,2.16,2108,15912,1.49,1,1,3,7,2000,252,122032,52.82,-114.4,2150,11224,2,63,964065,59,39
3,2.29,2018,16753,1.57,1,1,3,7,2035,253,122030,52.79,-114.4,1956,7599,2,63,626445,50,51
3,1.75,2110,10200,2.0,0,0,4,7,2110,0,122015,52.7044,-114.344,1800,10200,3,50,305495,58,58
3,2.13,1927,6508,1.57,1,1,3,7,1669,406,122033,52.8,-114.43,2080,16071,1,61,631305,47,45
3,2.17,2084,20966,1.52,1,1,3,7,1906,297,122032,52.81,-114.4,1914,11038,2,64,922941,56,54
4,3.5,2160,3600,2.0,0,0,3,8,1660,500,122044,52.8403,-114.487,1230,3840,1,55,601000,26,26
3,2.11,2225,23610,1.44,1,1,3,7,1816,317,122029,52.84,-114.37,2057,14960,2,65,1009930,50,60
3,2.17,2343,15245,1.53,1,1,3,7,1695,278,122033,52.79,-114.39,2337,8163,2,63,988665,57,59
3,2.01,2232,23661,1.54,1,1,3,7,2009,345,122032,52.8,-114.43,2278,13315,2,66,983793,55,51
4,2.75,2230,9460,1.0,0,0,5,7,1480,750,122012,52.7546,-114.234,1760,10878,2,78,550000,64,64
4,3.0,3380,16133,1.0,0,1,3,8,2330,1050,122051,52.7801,-114.451,2500,11100,1,75,350000,65,65
3,2.07,2167,14430,1.43,1,1,3,7,1464,189,122031,52.81,-114.46,2180,13494,2,63,989373,55,50
3,2.03,2123,16188,1.53,1,1,3,7,1870,167,122031,52.76,-114.44,1854,14198,1,62,545708,55,47
4,2.25,2310,9800,1.0,0,0,3,8,1780,530,122010,52.8957,-114.368,2310,9800,2,61,561500,56,56
3,1.0,1320,24684,1.0,0,0,3,7,1320,0,122056,52.7071,-114.512,1120,21214,3,69,150000,45,45
3,2.5,2010,3667,2.0,0,0,3,9,2010,0,122012,52.775,-114.205,2350,3600,2,61,605000,16,16
3,2.25,1680,8450,1.0,0,0,3,8,1340,340,122050,52.9875,-114.551,1850,8300,2,75,385000,64,64
3,2.0,2870,6360,1.5,0,1,4,8,1790,1080,122006,52.9113,-114.465,2310,6466,1,73,810000,78,78
3,2.03,2244,19414,1.68,1,1,3,7,2003,235,122031,52.83,-114.45,1986,13403,1,67,1016032,55,48
3,1.0,1990,7173,1.0,0,0,3,7,1990,0,122033,52.9416,-114.403,1320,7245,3,62,310000,52,52
3,1.75,1370,4000,1.0,0,1,4,7,1370,0,122018,52.5638,-114.531,1720,10050,3,56,268000,58,58
3,2.22,2208,15125,1.34,1,1,3,7,1772,329,122026,52.82,-114.34,1756,11505,1,66,978476,63,52
3,1.75,1940,7500,1.5,0,0,4,8,1940,0,122068,52.4362,-114.183,1650,7500,2,72,295000,106,39
2,1.0,860,6050,1.0,0,0,3,7,860,0,122009,52.7997,-114.59,1130,6050,2,77,370000,72,72
3,2.25,1907,8163,1.67,1,1,3,7,1883,358,122034,52.84,-114.36,2172,20837,1,64,618263,55,61
4,2.25,2760,12100,2.0,0,0,4,9,2760,0,122019,52.8585,-114.248,2850,12410,2,50,675000,48,48
4,3.5,3550,11000,1.0,0,2,3,11,2260,1290,122027,52.7806,-114.324,4100,10012,1,54,1360000,25,25
5,2.0,2130,4180,1.5,0,0,5,7,1270,860,122009,52.805,-114.578,1710,4180,1,78,615000,98,98
3,2.25,3060,9950,1.5,0,2,4,9,1810,1250,122054,52.809,-114.474,4950,10655,3,62,970000,94,94
3,2.18,2159,17574,1.48,1,1,3,7,1732,321,122034,52.78,-114.39,1749,16547,2,64,916471,47,49
4,1.0,1260,8505,1.5,0,0,5,7,1260,0,122050,52.9481,-114.561,1480,8100,3,51,461000,73,73
3,2.0,1380,7476,1.0,0,0,3,7,1380,0,122039,52.5636,-114.462,1600,7227,3,56,272000,35,35
3,2.26,2024,17476,1.6,1,1,3,7,1668,204,122032,52.8,-114.44,1914,11922,2,64,657917,52,52
3,4.0,3880,13095,2.0,0,3,3,11,3700,180,122033,52.9296,-114.423,3880,10830,1,72,1030000,15,15
2,1.0,1360,69260,1.0,0,0,4,5,1360,0,122008,52.7529,-114.028,1460,69260,1,59,335000,87,87
3,2.5,1230,922,2.0,0,0,3,8,1080,150,122032,52.8818,-114.574,1230,1237,1,64,399950,15,15
4,1.75,1850,5712,1.0,0,0,3,7,1850,0,122006,52.9266,-114.514,1510,6038,2,51,352000,70,70
4,1.0,2410,6975,1.0,0,0,3,7,1510,900,122059,52.7992,-114.485,1880,6255,1,51,325000,67,67
4,2.5,3360,22111,2.0,0,0,3,10,3360,0,122020,52.8251,-114.207,3150,11374,3,71,879000,30,30
3,2.08,2031,17140,1.64,1,1,3,7,1864,282,122036,52.83,-114.36,1976,10702,1,64,675939,53,46
3,1.0,1360,9948,1.0,0,0,3,6,1360,0,122062,52.5722,-114.243,1670,8475,2,74,234950,47,47
3,1.95,2044,17429,1.45,1,1,3,7,1717,203,122033,52.78,-114.43,1976,8486,1,64,788982,47,52
3,2.23,2420,13215,1.55,1,1,3,7,1929,324,122030,52.78,-114.42,2037,5887,1,62,989299,55,45
3,1.75,1890,9920,1.0,0,0,3,7,1230,660,122022,52.9627,-114.496,1380,9086,1,75,385000,80,80
2,1.5,1200,5773,2.0,0,0,3,7,1200,0,122042,52.7023,-114.38,1530,4576,3,75,250000,39,39
3,2.03,2131,3129,1.53,1,1,3,8,1790,212,122030,52.8,-114.41,1975,19340,1,63,1120460,54,54
3,2.5,2230,7934,2.0,0,0,3,7,2230,0,122008,52.7739,-114.07,2310,4818,2,61,445000,19,19
3,2.5,2950,35108,1.5,0,0,3,10,2950,0,122037,52.9616,-114.225,3810,35181,1,65,820000,29,29
5,2.25,2570,13054,1.0,0,1,3,8,1470,1100,122031,52.6787,-114.542,2570,19807,1,55,519000,74,32
2,1.0,1310,7128,1.0,0,0,4,7,940,370,122067,52.6258,-114.379,1400,7161,3,64,253000,44,44
3,2.5,1190,3000,2.0,0,0,3,7,1190,0,122063,52.7233,-114.465,1190,3000,1,61,229000,22,22
5,5.25,8010,45517,2.0,1,4,3,12,5990,2020,122010,52.9067,-114.401,3430,26788,2,60,5110000,25,25
1,0.75,1170,14149,1.0,0,0,5,7,880,290,122068,52.4953,-114.1,1130,24513,1,57,275000,62,62
3,2.21,2216,17412,1.67,1,1,3,7,1846,366,122030,52.8,-114.41,2181,9929,2,64,978378,46,46
3,2.5,2120,9736,2.0,0,0,3,9,2120,0,122017,52.9674,-114.409,2490,8763,2,62,531000,36,36
4,3.25,4190,10259,2.0,0,0,3,11,3150,1040,122019,52.8632,-114.256,4300,11919,3,51,1150000,24,24
5,1.75,2120,8399,1.0,0,0,4,7,1320,800,122038,52.9921,-114.525,2120,8398,2,56,377691,82,82
3,1.75,1010,6552,1.0,0,0,3,7,1010,0,122035,52.605,-114.307,1010,6552,3,70,147500,55,55
2,1.75,1000,5100,1.0,0,0,3,6,940,60,122007,52.9087,-114.581,1900,5100,3,60,335000,118,118
2,1.0,870,7975,1.0,0,2,3,7,870,0,122026,52.8998,-114.551,1080,5722,3,52,475000,78,78
3,2.5,2670,47480,2.0,0,3,3,9,2670,0,122021,52.9743,-114.304,2760,42800,3,52,605000,43,43
